params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 200}",0.6768088396021568,0.012935686331470738,365,0.7050970873786407,0.6741996233521658,0.6596664607782582,0.6670776818742293,0.6645924082140635,0.6798272671190623,0.6620775969962454,0.687990343995172,0.6865671641791045,0.6817625458996328,0.6761083743842364,0.6711739397664414,0.6950617283950618,0.6613003095975232,0.6936274509803921,0.6566037735849056,0.6741573033707865,0.6781538461538461,0.6999383857054837,0.6746987951807228,0.6670761670761671,0.6658369632856254,0.6662643331321666,0.6838868388683886,0.6811955168119551,0.6883835279655808,0.6876155268022182,0.6866218692730605,0.6520100502512562,0.6756923076923077
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 300}",0.6763712414466816,0.013875114408568093,438,0.7004270896888346,0.6683385579937304,0.6662538699690402,0.6703772418058133,0.6670792079207921,0.6790123456790124,0.655367231638418,0.6895720313441832,0.6861404599129894,0.6862026862026862,0.6732550957381099,0.6670769230769231,0.6966707768187423,0.6596534653465347,0.6879215205395462,0.6557993730407523,0.6724782067247821,0.6744759556103576,0.7031346035648433,0.6771653543307087,0.6604938271604939,0.6633165829145728,0.6654567453115547,0.681930693069307,0.6902106567534076,0.6872301048735349,0.6891477621091355,0.687041564792176,0.6477272727272727,0.6821800367421923
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 500}",0.676636590500888,0.013226847339745336,395,0.7006678809957498,0.6695815115552779,0.6691403834260977,0.6691403834260977,0.6629422718808193,0.6781538461538461,0.662492172824045,0.6883273164861613,0.686530105524519,0.6825980392156863,0.6744471744471745,0.666256157635468,0.6966707768187423,0.6621454993834772,0.694647201946472,0.6553459119496855,0.67125,0.6707768187422934,0.7,0.6779866585809582,0.6646077825818406,0.6599622878692646,0.6682808716707022,0.6806411837237978,0.6869565217391305,0.691131498470948,0.690842040565458,0.6829865361077111,0.6515723270440251,0.6830165542611895
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 1000}",0.676220295569662,0.013112963612608209,470,0.6995734308348568,0.67125,0.6670784434836319,0.6683168316831684,0.6629422718808193,0.6769610870907968,0.6645885286783042,0.6896551724137931,0.6824408468244084,0.6792913866829566,0.6712158808933002,0.6687154271665642,0.6985880908532842,0.6625463535228677,0.6907532149418248,0.6528301886792452,0.6716697936210131,0.6716141001855288,0.6982758620689655,0.6719319562575942,0.6666666666666666,0.6637390213299874,0.6662628709872804,0.682716049382716,0.6877715704531348,0.6924019607843137,0.6925446703635243,0.6846625766871166,0.6498740554156172,0.6797305572565829
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 100}",0.6718331970357768,0.015208983751665541,938,0.7039312039312039,0.6645649432534678,0.6571072319201995,0.66375,0.6641651031894934,0.6798516687268232,0.654934003771213,0.6860959319975714,0.6783699059561129,0.674892041949414,0.6699813548788067,0.6617100371747212,0.6947890818858561,0.6528040327662256,0.6951144094001237,0.6467977171845276,0.6670822942643392,0.6753731343283582,0.6895261845386533,0.6691131498470948,0.6524733876017533,0.6607929515418502,0.6634205721241632,0.672069825436409,0.6820737039350406,0.6890130353817505,0.6799254195152269,0.683076923076923,0.6387301587301587,0.6834665027658267
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 200}",0.6737587182439031,0.013367359555059148,709,0.6984709480122324,0.6687737041719343,0.6583541147132169,0.6683199008059516,0.665,0.6765799256505576,0.6608150470219436,0.676056338028169,0.6799501867995019,0.6769041769041769,0.6679127725856698,0.6658385093167701,0.6971005552128315,0.6546134663341646,0.6888888888888889,0.6582438408085913,0.6662492172824045,0.6765983860955928,0.6988847583643123,0.6787878787878788,0.6596009975062345,0.6624525916561315,0.6580882352941176,0.681704260651629,0.682896379525593,0.6880790611488573,0.6836861768368617,0.6846295162278015,0.6466836734693877,0.6825980392156863
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 300}",0.6737030930774559,0.013128403461524683,718,0.6982175783650891,0.6662444585180494,0.660024906600249,0.6703980099502488,0.6679127725856698,0.675776397515528,0.6599749058971142,0.6833130328867235,0.6824408468244084,0.6724351050679852,0.6695544554455446,0.6674937965260546,0.6947890818858561,0.6520100502512562,0.6859605911330049,0.6544303797468355,0.6645807259073843,0.6753407682775713,0.6952203600248293,0.6797546012269938,0.6604477611940298,0.6670846394984326,0.6658566221142163,0.6800250469630558,0.682896379525593,0.6877715704531348,0.6827757125154895,0.6798516687268232,0.6425855513307985,0.6859250153657037
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 500}",0.6735764517265366,0.01415224178973582,738,0.6966707768187423,0.6704545454545454,0.6587648159700561,0.6670807453416149,0.66541588492808,0.6806930693069307,0.6587052168447517,0.6845310596833131,0.6791744840525328,0.674892041949414,0.6683260734287492,0.6633540372670808,0.695920889987639,0.6541588492808005,0.6901234567901234,0.649746192893401,0.6666666666666666,0.6762320648783531,0.698019801980198,0.6764346764346765,0.6575,0.6633039092055486,0.6658566221142163,0.6821316614420063,0.6845052893590542,0.6889301175015461,0.6807716241443684,0.6834355828220859,0.640764331210191,0.6847290640394089
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2, 'estimator__n_estimators': 1000}",0.6732022055611627,0.014196295855259118,782,0.699076923076923,0.6620253164556962,0.6600124766063631,0.6641697877652933,0.66541822721598,0.6811684275947794,0.6578782172002511,0.6813455657492354,0.6783479349186483,0.6765799256505576,0.6674968866749689,0.6650062266500623,0.6983930778739185,0.6524733876017533,0.6896977174583591,0.6514285714285715,0.6695706285003111,0.6737235367372354,0.6931677018633541,0.6739792809262645,0.6583541147132169,0.6607929515418502,0.6642380085003036,0.6804252657911195,0.6890965732087228,0.6890130353817505,0.6840796019900498,0.6822660098522167,0.643312101910828,0.6835286859962986
"{'estimator__criterion': 'entropy', 'estimator__max_depth': None, 'estimator__max_features': 'log2', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5, 'estimator__n_estimators': 100}",0.6719788553996654,0.012900625513520461,928,0.693300553165335,0.6632911392405063,0.6629072681704261,0.6662507797878977,0.6683322923173017,0.6773993808049535,0.6524733876017533,0.6828971393791844,0.6783479349186483,0.6736842105263158,0.6691682301438399,0.6687192118226601,0.6925925925925925,0.6499686912961803,0.689272503082614,0.6552162849872774,0.66875,0.6733042937149969,0.6927860696517413,0.6719803801348866,0.6567164179104478,0.6599241466498104,0.6625842008573178,0.6754385964912281,0.6770768269831355,0.688,0.6868437306979617,0.6809815950920245,0.6449968132568515,0.6761609907120743
